Source,Date,Description,Amount
usaa,12/31,SYLVIA'S ENCHILADA KIT HOUSTON  TX,$59.80
usaa,12/31,WHOLEFDS VOS #10552 HOUSTON  TX,$66.74
usaa,12/31,HOUSTON ARBORETUM NATURE HOUSTON  TX,$2.35
usaa,12/31,TRADER JOE'S #427 QPS HOUSTON  TX,$26.60
usaa,12/31,ALOOK MEDIA A-LOOK  PL,$4.17
usaa,12/31,KATZ COFFEE7138643338TX,$15.00
usaa,01/01,TST* DOWN HOUSE HOUSTON  TX,$57.46
usaa,01/01,EL TIEMPO CANTINA 290 HOUSTON  TX,$140.05
usaa,01/01,APPLE.COM/BILL866-712-7753 CA,$10.81
usaa,01/02,TEXAS ART SUPPLY 52 HOUSTON  TX,$32.40
usaa,01/02,CHUY'S HOUSTON  TX,$39.73
usaa,01/02,KROGER #346 HOUSTON  TX,$43.86
usaa,01/03,TAQUERIA ARANDAS 4 HOUSTON  TX,$17.60
usaa,01/03,TFC NEW YORK925-498-2500 CA,$927.00
usaa,01/03,MCDONALD'S F20638 HOUSTON  TX,$5.17
usaa,01/03,LA FITNESS949-255-7200 CA,$54.10
usaa,01/03,APPLE.COM/BILL866-712-7753 CA,$29.76
usaa,01/04,PETCO 46963504690 HOUSTON  TX,$34.63
usaa,01/04,SQ *TORNADO TACO HOUSTON  TX,$14.98
usaa,01/04,AMZNGrocery*XI9EZ3JX3 Amzn.com/bill WA,$151.86
usaa,01/04,VCI*VITACOST.COM800-793-2601 FL,$211.60
usaa,01/05,MI SOMBRERO HOUSTON  TX,$38.01
usaa,01/05,DOORDASH*LOS CUCOS MEX WWW.DOORDASH. CA,$42.94
usaa,01/05,SQ *ANTIDOTE COFFEE HOUSTON  TX,$13.88
usaa,01/05,WOODS FOOD STORE HOUSTON  TX,$4.09
usaa,01/06,AMZNGrocery*P86H64P43 Amzn.com/bill WA,$7.00
usaa,01/10,IKEA HOUSTON HOUSTON  TX,$300.09
usaa,01/11,WASHINGTON HEIGHTS VET HOUSTON  TX,$58.00
usaa,01/13,WPY*Final expenses for Mu866-819-1294 CA,$101.00
usaa,01/13,APPLE.COM/BILL866-712-7753 CA,$4.32
usaa,01/18,TFC NEW YORK925-498-2500 CA,$922.00
usaa,01/20,SOUTHWEST AUTOMOTIVE HOUSTON  TX,$548.79
usaa,10/23 10/23,HEB ONLINE800-987-4438 TX,$261.45
usaa,10/22 10/23,BONES 2 GO INC JERSEY VILLAG TX,$322.59
usaa,10/22 10/23,Amazon.com*2T1BI4DB1 Amzn.com/bill WA,$146.98
usaa,10/22 10/23,APPLE.COM/BILL866-712-7753 CA,$9.99
usaa,10/24 10/24,AMZN Mktp US*2T4NO17E1 Amzn.com/bill WA,$105.93
usaa,10/24 10/24,Amazon Tips*2T39J19P1 Amzn.com/bill WA,$7.00
usaa,10/25 10/25,AMZN Mktp US*2T0UO39L1 Amzn.com/bill WA,$38.96
usaa,10/26 10/26,SQ *CENTRAL CITY CO-OP gosq.com  TX,$120.65
usaa,10/26,HOUSTON ZOO- WEB713-533-6725 TX,$50.90
usaa,10/27,GOOGLE* Chrome650-2530000  CA,$1.99
usaa,10/28,APPLE.COM/BILL866-712-7753 CA,$16.23
usaa,10/31,HEB ONLINE800-987-4438 TX,$158.21
usaa,10/31,Amazon.com*284PL7TY0 Amzn.com/bill WA,$168.68
usaa,11/02,Amazon Tips*288LY1PE0 Amzn.com/bill WA,$10.00
usaa,11/04,BONES 2 GO INC JERSEY VILLAG TX,$322.59
usaa,11/04,SQ *CENTRAL CITY CO-OP gosq.com  TX,$99.65
usaa,11/05,"LAST WISHES, LLC HOUSTON  TX",$33.00
usaa,11/07,HEB ONLINE800-987-4438 TX,$179.21
usaa,11/08,SQ *CENTRAL CITY CO-OP gosq.com  TX,$54.50
usaa,11/08,SQ *CENTRAL CITY CO-OP gosq.com  TX,$120.65
usaa,11/09,AMZN Mktp US*286GH59M1 Amzn.com/bill WA,$102.77
usaa,11/13,AMAZON.COM*2862X6WS2 AMZN AMZN.COM/BILL WA,$64.20
usaa,11/14,HEB ONLINE800-987-4438 TX,$165.56
usaa,11/14,AMZN Mktp US*2030K2C12 Amzn.com/bill WA,$50.84
usaa,11/15,VCI*VITACOST.COM800-793-2601 FL,$157.13
usaa,11/16,"LAST WISHES, LLC HOUSTON  TX",$116.40
usaa,11/17,BONES 2 GO INC JERSEY VILLAG TX,$139.64
usaa,11/17,SQ *CENTRAL CITY CO-OP gosq.com  TX,$93.40
usaa,11/18,Amazon.com*EP2X14EO3 Amzn.com/bill WA,$224.62
usaa,11/19,HEB ONLINE800-987-4438 TX,$149.22
usaa,11/19,AT&T*PAYMENT800-288-2020 TX,$276.61
usaa,09/23 09/23,NAMASTE INDIAN CUISINE SPRING  TX,$37.36
usaa,09/23 09/23,AMZN Mktp US*M483P10J0 Amzn.com/bill WA,$58.87
usaa,09/24 09/24,CONTAINERSTORE.COM800-733-3532 TX,$363.69
usaa,09/25 09/25,WOODLANDS PERFORMANCE & S THE WOODLANDS TX,$685.00
usaa,09/25 09/25,CHICK-FIL-A #02484 THE WOODLANDS TX,$14.01
usaa,09/25 09/25,Amazon.com*M43KU8MU0 Amzn.com/bill WA,$63.58
usaa,09/28 09/28,H-E-B ONLINE800-987-4438 TX,$218.21
usaa,09/29,AMAZON.COM*M41SH9Y22 AMZN AMZN.COM/BILL WA,$24.85
usaa,09/29,APPLE.COM/BILL866-712-7753 CA,$16.23
usaa,09/29,APPLE.COM/BILL866-712-7753 CA,$9.99
usaa,09/30,AMZN MKTP US*MK0SY5NZ1 AM AMZN.COM/BILL WA,$14.02
usaa,09/30,IKEA.COM 365524362888-434-4532 MD,$279.26
usaa,10/02,SQ *CENTRAL CITY CO-OP gosq.com  TX,$85.40
usaa,10/06,H-E-B ONLINE800-987-4438 TX,$228.92
usaa,10/07,BONES 2 GO INC JERSEY VILLAG TX,$318.26
usaa,10/09,VCI*VITACOST.COM800-793-2601 FL,$139.91
usaa,10/10,TOM CARTER* SUBSCR 1Y TOMCARTERGUIT TX,$35.00
usaa,10/10,"LAST WISHES, LLC HOUSTON  TX",$149.70
usaa,10/11,AMAZON.COM*MK54H49H1 AMZN AMZN.COM/BILL WA,$109.32
usaa,10/14,HEB ONLINE800-987-4438 TX,$232.64
usaa,10/14,SQ *CENTRAL CITY CO-OP gosq.com  TX,$108.15
usaa,10/15,Amazon.com*MK75E6YK0 Amzn.com/bill WA,$186.06
usaa,10/16,HEB ONLINE800-987-4438 TX,$70.44
usaa,10/17,Amazon Tips*2T20D54D2 Amzn.com/bill WA,$10.00
usaa,10/20,SQ *CENTRAL CITY CO-OP gosq.com  TX,$99.65
usaa,,BONES 2 GO INC JERSEY VILLAG TX,$128.82
usaa,08/22 08/22,WEST MARINE #300800-937-2628 CA,$108.24
usaa,08/21 08/22,APPLE.COM/BILL866-712-7753 CA,$9.99
usaa,08/22 08/22,"LAST WISHES, LLC HOUSTON  TX",$33.30
usaa,08/22 08/22,SWIFT MART 2047 WIRT HOUSTON  TX,$10.30
usaa,08/26 08/26,SOUTHWEST AUTOMOTIVE HOUSTON  TX,"$1,209.10"
usaa,08/26 08/26,SQ *MASALA WOK @ HO HOUSTON  TX,$21.47
usaa,08/26 08/26,TEXACO 0302293 HOUSTON  TX,$2.70
usaa,08/26 08/26,KATZ COFFEE7138643338TX,$70.00
usaa,08/27 08/27,CHICK-FIL-A #01671 CYPRESS  TX,$6.16
usaa,08/27 08/27,SQ *CENTRAL CITY CO-OP gosq.com  TX,$90.65
usaa,08/27 08/27,WHATABURGER 1165 MAGNOLIA  TX,$6.81
usaa,08/28 08/28,APPLE.COM/BILL866-712-7753 CA,$16.23
usaa,08/28 08/28,Amazon.com*MM1W63DB0 Amzn.com/bill WA,$132.75
usaa,08/29 08/29,CVS/PHARMACY #06726 HOUSTON  TX,$12.96
usaa,08/29 08/29,STEAMBOAT AMPS HOUSTON  TX,$54.13
usaa,08/30 08/30,DAIRY QUEEN #44837 HUMBLE  TX,$26.47
usaa,08/30 08/30,Amazon Tips*MU93960K1 Amzn.com/bill WA,$7.00
usaa,08/30 08/30,APPLE.COM/BILL866-712-7753 CA,$12.98
usaa,09/01 09/01,SQ *BLACK HOLE COFFEE HOU Houston  TX,$14.18
usaa,09/01 09/01,SQ *BLACK HOLE COFFEE HOU Houston  TX,$2.98
usaa,09/03 09/03,BONES 2 GO INC JERSEY VILLAG TX,$32.57
usaa,09/03 09/03,SQ *CENTRAL CITY CO-OP gosq.com  TX,$90.65
usaa,09/04 09/04,LA COCINA DE ROBERTO SPRING  TX,$28.35
usaa,09/04 09/04,DIY CAR WASH SPRING  TX,$20.00
usaa,09/04 09/04,TST* RUDY S COUNTRY STORE HOUSTON  TX,$11.45
usaa,09/04 09/04,TST* RUDY S COUNTRY STORE HOUSTON  TX,$10.05
usaa,09/04 09/04,RANCHO GRANDE - MAGNOLIA MAGNOLIA  TX,$21.30
usaa,09/04 09/04,H-E-B GAS/CARWASH #705 SPRING  TX,$28.46
usaa,09/04 09/04,SQ *GOOD CITY COFFEE CO. The Woodlands TX,$10.66
usaa,09/04 09/04,"LAST WISHES, LLC HOUSTON  TX",$116.40
usaa,09/06 09/06,Amazon.com*MU5EX93X0 Amzn.com/bill WA,$140.71
usaa,09/10 09/10,POPEYES 5863 HOUSTON  TX,$4.32
usaa,09/10 09/10,BONES 2 GO INC JERSEY VILLAG TX,$277.12
usaa,09/10 09/10,SQ *CENTRAL CITY CO-OP gosq.com  TX,$90.65
usaa,09/11 09/11,TIRELINK SPRING SPRING  TX,"$2,687.02"
usaa,09/11 09/11,Amazon.com*M454B7FO1 Amzn.com/bill WA,$227.33
usaa,09/13 09/13,BISTRO MENIL HOUSTON  TX,$73.46
usaa,09/13 09/13,SHELL OIL 57543438303 HOUSTON  TX,$5.39
usaa,09/13 09/13,SHELL OIL 57543438303 HOUSTON  TX,$29.79
usaa,09/13 09/13,CHUY'S HOUSTON  TX,$78.36
usaa,09/13 09/13,KROGER #390 TOMBALL  TX,$2.87
usaa,09/13 09/13,KROGER #390 TOMBALL  TX,$19.98
usaa,09/13 09/13,Amazon.com*MU1JW06J0 Amzn.com/bill WA,$403.44
usaa,09/13 09/13,Amazon Tips*MU3PO6WO2 Amzn.com/bill WA,$10.00
usaa,09/14 09/14,TST* RUDY S COUNTRY STORE HOUSTON  TX,$11.65
usaa,09/15 09/15,SLANKER GRASS FED MEAT903-7324653  TX,$246.16
usaa,09/18 09/18,AMZN MKTP US*M461E9TI2 AM AMZN.COM/BILL WA,$7.98
usaa,09/18 09/18,AMZN MKTP US*M41LA8EE2 AM AMZN.COM/BILL WA,$112.40
usaa,07/23 07/23,SWIFT MART 2047 WIRT HOUSTON  TX,$60.00
usaa,07/23 07/23,SWIFT MART 2047 WIRT HOUSTON  TX,$2.15
usaa,07/23 07/23,PETCO #540863554083 HOUSTON  TX,$16.23
usaa,07/23 07/23,KINGS TEXAS SMOKEHOUSE CAMP WOOD  TX,$34.13
usaa,07/22 07/23,BONES 2 GO INC JERSEY VILLAG TX,$160.21
usaa,07/23,WALGREENS #4551 SAN ANTONIO  TX,$101.09
usaa,07/22,APPLE.COM/BILL866-712-7753 CA,$9.99
usaa,07/23,SQ *CENTRAL CITY CO-OP gosq.com  TX,$90.65
usaa,07/23,TACO BUENO KATY  TX,$9.61
usaa,07/23,REI #131 SAN ANTONIO SAN ANTONIO  TX,$224.80
usaa,07/23,REI #131 SAN ANTONIO SAN ANTONIO  TX,$11.80
usaa,07/23,STARBUCKS STORE 23900 SAN ANTONIO  TX,$13.47
usaa,07/23,HCTRA EZTAG Storefront281-8753279  TX,$2.00
usaa,07/23,HCTRA EZTAG Storefront281-8753279  TX,$40.39
usaa,07/24,PIC QUIK #22 LAS CRUCES  NM,$19.63
usaa,07/24,PIC QUIK #22 LAS CRUCES  NM,$6.68
usaa,07/24,EAGLE GROCERY LA MESA  NM,$7.56
usaa,07/24,SHELL OIL 10014501000 ROCKSPRINGS  TX,$10.45
usaa,07/24,SHELL OIL 10014501000 ROCKSPRINGS  TX,$67.87
usaa,07/25,La Nueva Casita Cafe Las Cruces  NM,$18.35
usaa,07/25,XPRESS_01262 CLINT  TX,$46.41
usaa,07/25,SQ *BECK'S COFFEE Las Cruces  NM,$6.00
usaa,07/25,MOUNTAIN VIEW MARKET LAS CRUCES  NM,$13.18
usaa,07/26,PHILLIPS 66 - LOWES FUEL MASON  TX,$57.38
usaa,07/26,STRIPES 0171030000 IRAAN  TX,$8.97
usaa,07/26,UNCLES - BALMORHEA BALMORHEA  TX,$46.18
usaa,07/26,UNCLES - BALMORHEA BALMORHEA  TX,$25.63
usaa,07/26,ANNA'S TOY DEPOT AUSTIN  TX,$83.36
usaa,07/26,ANNA'S TOY DEPOT AUSTIN  TX,$9.74
usaa,07/26,BROADWAY FOOD CITGO MART COLUMBUS  TX,$16.57
usaa,07/26,COOPER'S ORIGINAL PIT BBQ MASON  TX,$45.49
usaa,07/26,COOPER'S ORIGINAL PIT BBQ MASON  TX,$4.87
usaa,07/27,AUSTIN VINTAGE GUITARS LL512-4289100  TX,$285.78
usaa,07/27,DAIRY QUEEN #44599 SPRING  TX,$13.89
usaa,07/27,DAIRY QUEEN #44599 SPRING  TX,$2.70
